us_rank,university_name,teaching,international,research,citations,income,total_score,num_students,student_staff_ratio,international_students,female_male_ratio,HIGHDEG,ADM_RATE,ADM_RATE_ALL,SATVR25,SATVR75,SATMT25,SATMT75,SATWR25,SATWR75,SATVRMID,SATMTMID,SATWRMID,ACTCM25,ACTCM75,ACTEN25,ACTEN75,ACTMT25,ACTMT75,ACTWR25,ACTWR75,ACTCMMID,ACTENMID,ACTMTMID,ACTWRMID,SAT_AVG,SAT_AVG_ALL,UGDS,UGDS_WHITE,UGDS_BLACK,UGDS_HISP,UGDS_ASIAN,UGDS_AIAN,UGDS_NHPI,UGDS_2MOR,UGDS_NRA,UGDS_UNKN
90,University of South Carolina,37.5,31.3,28,53.2,30.8,-,29336,16.3,1%,55 : 45,4,0.606,0.6132,540,640,560,650,NULL,NULL,590,605,NULL,24,29,23,31,23,28,NULL,NULL,27,27,26,NULL,1200,1178,23987,0.7709,0.1016,0.0406,0.0228,0.0025,0.0011,0.0321,0.0113,0.0173
91,Virginia Polytechnic Institute and State University,38.5,27.8,44.4,37.2,27.9,-,30850,18.6,10%,42 : 58,4,0.7028,0.7028,540,640,580,680,540,640,590,630,590,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,1220,1220,23928,0.7182,0.0349,0.0512,0.0848,0.0016,0.0013,0.0403,0.0382,0.0295
92,Creighton University,42.4,26,9.3,61,-,-,7086,8.3,2%,57 : 43,4,0.7665,0.7665,520,640,540,660,500,620,580,600,560,24,30,24,32,24,29,8,9,27,28,27,9,1214,1214,3943,0.7375,0.0249,0.0697,0.0933,0.0048,0.0036,0.0401,0.018,0.0081
93,North Carolina State University,34.8,29.2,28.8,47.6,35.7,-,30533,13.6,11%,44 : 56,4,0.5001,0.5001,550,640,590,670,520,620,595,630,570,25,30,24,30,25,30,7,8,28,27,28,8,1229,1229,22977,0.7512,0.0691,0.0427,0.0523,0.0045,0.0006,0.0314,0.0267,0.0215
94,University of Kentucky,39.1,21.7,27.8,45.5,-,-,,,,,4,0.6861,0.6861,490,610,500,630,NULL,NULL,550,565,NULL,22,28,22,30,22,28,NULL,NULL,25,26,25,NULL,1140,1140,21050,0.778,0.0779,0.0326,0.0247,0.0017,0.0007,0.0285,0.0262,0.0298
95,University of Vermont,28.5,19.9,20.6,58.6,-,-,,,,,4,0.7755,0.7755,540,640,540,650,540,650,590,595,595,24,29,23,30,24,28,8,9,27,27,26,9,1190,1190,9970,0.834,0.0115,0.0427,0.0221,0.0027,0.0002,0.0294,0.0202,0.0372
96,Washington State University,29.9,33.9,30.6,47.1,55.8,-,24550,18.3,7%,50 : 50,4,0.8208,0.8208,450,570,460,580,440,550,510,520,495,19,25,18,25,18,25,NULL,NULL,22,22,22,NULL,1030,1030,22825,0.6648,0.0331,0.1065,0.0526,0.0063,0.0042,0.0686,0.0426,0.0214
97,Wayne State University,34.3,28.1,16.2,58.4,-,-,23065,10.7,7%,57 : 43,4,0.7624,0.7624,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,19,26,19,26,18,26,NULL,NULL,23,23,22,NULL,1050,1050,17789,0.5317,0.2136,0.0417,0.0783,0.004,0.0013,0.0262,0.025,0.0783
98,George Mason University,27.2,34.9,19.7,53,28.2,-,26622,17,7%,54 : 46,4,0.6203,0.6203,520,620,530,630,NULL,NULL,570,580,NULL,24,28,23,29,23,27,NULL,NULL,26,26,25,NULL,1155,1155,21324,0.4576,0.0962,0.1167,0.174,0.0016,0.0048,0.0461,0.0417,0.0613
99,Lehigh University,26,30.4,19.7,50.6,40.1,-,6300,11.3,15%,44 : 56,4,0.3084,0.3084,580,670,640,740,NULL,NULL,625,690,NULL,28,32,NULL,NULL,NULL,NULL,NULL,NULL,30,NULL,NULL,NULL,1322,1322,4904,0.6876,0.0336,0.0805,0.0695,0.0006,0,0.0269,0.0681,0.033
100,Southern Methodist University,18.6,35.2,9,67.3,-,-,,,,,4,0.507,0.507,600,690,620,700,590,680,645,660,635,27,31,27,33,26,32,8,9,29,30,29,9,1302,1302,6295,0.6556,0.055,0.1172,0.0672,0.0043,0.0011,0.0295,0.0667,0.0033
101,Temple University,37.2,20.1,18.8,43.3,-,-,33268,13.3,5%,51 : 49,4,0.6387,0.6387,500,610,510,620,500,610,555,565,555,22,27,21,28,22,27,6,8,25,25,25,7,1121,1121,27511,0.6028,0.1352,0.0542,0.1011,0.0019,0.0009,0.0232,0.0348,0.0458
102,University of Houston,37.5,32.6,25,35,35.7,-,40325,43.7,9%,50 : 50,4,0.5841,0.5841,490,610,540,640,NULL,NULL,550,590,NULL,22,27,20,27,23,27,NULL,NULL,25,24,25,NULL,1136,1136,30357,0.2843,0.1155,0.2998,0.2122,0.0015,0.0026,0.0311,0.0464,0.0067
103,University of Oklahoma,36.8,24.2,17.8,42.9,33.9,-,,,,,4,0.8044,0.8044,500,630,530,650,NULL,NULL,565,590,NULL,23,29,22,30,23,28,NULL,NULL,26,26,26,NULL,1176,1176,20528,0.6248,0.049,0.0885,0.056,0.0419,0.0018,0.0646,0.0388,0.0347
